scheme,folder,document,source_type,official_url,notes
PM-KISAN,central/pm_kisan,Revised PM-KISAN Operational Guidelines,official government,https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines%28English%29.pdf,Useful baseline operational guideline; also check current portal for later amendments/circulars
PM-KISAN,central/pm_kisan,PM-KISAN official portal,official government,https://pmkisan.gov.in/,Use current portal content for freshness-sensitive information
PMFBY,central/pmfby,2023 Operational Guidelines,official government,https://pmfby.gov.in/guidelines,Current official guidelines page lists the 2023 Operational Guidelines published 07/11/2024
PMFBY,central/pmfby,PMFBY Basic Features English/Hindi,official government,https://pmfby.gov.in/guidelines,Download both English and Hindi from the official guidelines page
KCC,central/kcc,KCC official agriculture credit information,official government,https://www.financialservices.gov.in/agriculture-credit,Use current DFS information; avoid relying on old KCC figures
KCC,central/kcc,KCC Budget 2025 Q&A,official government,https://financialservices.gov.in/beta/sites/default/files/2025-02/budget.pdf,Contains current 2025 KCC policy Q&A
PMKSY,central/pmksy,PMKSY Guidelines English,official government,https://pmksy.gov.in/pdflinks/Guidelines_English.pdf,Official PMKSY guideline PDF referenced by PIB
Soil Health Card,central/soil_health_card,Soil Health Card FAQ English,official government,https://soilhealth.dac.gov.in/files/FAQ_Final_English.pdf,Official Soil Health Card portal FAQ
Agricultural Mechanization,central/agricultural_mechanization,SMAM Revised Guidelines 2025,official government,https://farmech.dac.gov.in/Content/New_Folder/Revised_SMAM_Guidelines_%282025%29_With_Covering.pdf,2025 revised guidelines referenced by PIB
Agriculture Infrastructure Fund,central/agriculture_infrastructure_fund,AIF Scheme Guidelines,government scheme document,https://static.investindia.gov.in/s3fs-public/2024-12/finalschemeguidelinesaif.pdf,Scheme guideline document; verify latest version before indexing
RKVY,central/rkvy,RKVY Guidelines,official government,https://agriwelfare.gov.in/sites/default/files/rkvy_inro.pdf,Reference cited by PIB; verify current version before indexing
Uttar Pradesh, state/uttar_pradesh,UP agriculture schemes,official state government,https://agriculture.up.gov.in/,Use only current UP Agriculture Department scheme/guideline pages and PDFs
